go_id	gene_id
GO:0000166	Os06g0187200
GO:0000166	Os06g0187900
GO:0000166	Os06g0192600
GO:0000166	Os06g0203200
GO:0000166	Os06g0218500
GO:0000166	Os06g0219600
GO:0000166	Os06g0220600
GO:0000166	Os06g0225900
GO:0000166	Os06g0229066
GO:0000166	Os06g0245800
GO:0000166	Os06g0248200
GO:0000166	Os06g0251000
GO:0000166	Os06g0256200
GO:0000166	Os06g0258900
GO:0000166	Os06g0298700
GO:0000166	Os06g0299100
GO:0000166	Os06g0299200
GO:0000166	Os06g0300000
GO:0000166	Os06g0300200
GO:0000166	Os06g0360300
GO:0000166	Os06g0472200
GO:0000166	Os06g0479400
GO:0000166	Os06g0486800
GO:0000166	Os06g0486900
GO:0000166	Os06g0542200
GO:0000166	Os06g0554800
GO:0000166	Os06g0555400
GO:0000166	Os06g0566100
GO:0000166	Os06g0589300
GO:0000166	Os06g0589700
GO:0000166	Os06g0590301
GO:0000166	Os06g0600100
GO:0000166	Os06g0602900
GO:0000166	Os06g0607800
GO:0000166	Os06g0622900
GO:0000166	Os06g0623200
GO:0000166	Os06g0623300
GO:0000166	Os06g0623600
GO:0000166	Os06g0645400
GO:0000166	Os06g0651000
GO:0000166	Os06g0651100
GO:0000166	Os06g0652300
GO:0000166	Os06g0652400
GO:0000166	Os06g0655100
GO:0000166	Os06g0665800
GO:0000166	Os06g0666600
GO:0000166	Os06g0669400
GO:0000166	Os06g0670400
GO:0000166	Os06g0670500
GO:0000166	Os06g0677400
GO:0000166	Os06g0683100
GO:0000166	Os06g0687500
GO:0000166	Os06g0690700
GO:0000166	Os06g0695800
GO:0000166	Os06g0697500
GO:0000166	Os06g0697600
GO:0000166	Os06g0698400
GO:0000166	Os06g0700700
GO:0000166	Os06g0704700
GO:0000166	Os06g0708832
GO:0000166	Os06g0709000
GO:0000166	Os06g0714500
GO:0000166	Os06g0724600
GO:0000166	Os06g0725900
GO:0000166	Os06g0731200
GO:0000166	Os07g0102500
GO:0000166	Os07g0124600
GO:0000166	Os07g0139400
GO:0000166	Os07g0141900
GO:0000166	Os07g0158300
GO:0000166	Os07g0163500
GO:0000166	Os07g0165000
GO:0000166	Os07g0170000
GO:0000166	Os07g0178900
GO:0000166	Os07g0180800
GO:0000166	Os07g0187300
GO:0000166	Os07g0187400
GO:0000166	Os07g0191200
GO:0000166	Os07g0191600
GO:0000166	Os07g0192000
GO:0000166	Os07g0192700
GO:0000166	Os07g0192800
GO:0000166	Os07g0212200
GO:0000166	Os07g0229800
GO:0000166	Os07g0232900
GO:0000166	Os07g0237100
GO:0000166	Os07g0256200
GO:0000166	Os07g0263400
GO:0000166	Os07g0264100
GO:0000166	Os07g0278400
GO:0000166	Os07g0281000
GO:0000166	Os07g0288700
GO:0000166	Os07g0296200
GO:0000166	Os07g0406300
GO:0000166	Os07g0415200
GO:0000166	Os07g0416600
GO:0000166	Os07g0464600
GO:0000166	Os07g0481400
GO:0000166	Os07g0485400
GO:0000166	Os07g0489100
GO:0000166	Os07g0496200
GO:0000166	Os07g0513100
GO:0000166	Os07g0516900
GO:0000166	Os07g0549800
GO:0000166	Os07g0561500
GO:0000166	Os07g0577700
GO:0000166	Os07g0583300
GO:0000166	Os07g0583500
GO:0000166	Os07g0584500
GO:0000166	Os07g0586500
GO:0000166	Os07g0592100
GO:0000166	Os07g0597500
GO:0000166	Os07g0598000
GO:0000166	Os07g0601000
GO:0000166	Os07g0601100
GO:0000166	Os07g0601600
GO:0000166	Os07g0601900
GO:0000166	Os07g0602000
GO:0000166	Os07g0602050
GO:0000166	Os07g0602600
GO:0000166	Os07g0603100
GO:0000166	Os07g0615400
GO:0000166	Os07g0621500
GO:0000166	Os07g0621800
GO:0000166	Os07g0623300
GO:0000166	Os07g0630800
GO:0000166	Os07g0631900
GO:0000166	Os07g0633200
GO:0000166	Os07g0656500
GO:0000166	Os07g0662600
GO:0000166	Os07g0663300
GO:0000166	Os07g0663500
GO:0000166	Os07g0663600
GO:0000166	Os07g0663700
GO:0000166	Os07g0663800
GO:0000166	Os07g0664000
GO:0000166	Os07g0664150
GO:0000166	Os07g0664200
GO:0000166	Os07g0664400
GO:0000166	Os07g0664500
GO:0000166	Os07g0664600
GO:0000166	Os07g0664900
GO:0000166	Os07g0665000
GO:0000166	Os07g0669200
GO:0000166	Os07g0672500
GO:0000166	Os07g0673500
GO:0000166	Os07g0674100
GO:0000166	Os07g0681600
GO:0000166	Os07g0682400
GO:0000166	Os07g0685800
GO:0000166	Os07g0691600
GO:0000166	Os07g0691800
GO:0000166	Os07g0692900
GO:0000166	Os08g0109200
GO:0000166	Os08g0113200
GO:0000166	Os08g0116400
GO:0000166	Os08g0117100
GO:0000166	Os08g0120200
