go_id	gene_id
GO:0005576	Os07g0125201
GO:0005576	Os07g0125500
GO:0005576	Os07g0126100
GO:0005576	Os07g0126301
GO:0005576	Os07g0126500
GO:0005576	Os07g0127500
GO:0005576	Os07g0127600
GO:0005576	Os07g0127700
GO:0005576	Os07g0127900
GO:0005576	Os07g0128800
GO:0005576	Os07g0129200
GO:0005576	Os07g0129300
GO:0005576	Os07g0208100
GO:0005576	Os07g0216600
GO:0005576	Os07g0243800
GO:0005576	Os07g0244100
GO:0005576	Os07g0245200
GO:0005576	Os07g0475400
GO:0005576	Os07g0496250
GO:0005576	Os07g0630400
GO:0005576	Os07g0677300
GO:0005576	Os08g0107300
GO:0005576	Os08g0114200
GO:0005576	Os08g0327200
GO:0005576	Os08g0387400
GO:0005576	Os08g0425300
GO:0005576	Os08g0434100
GO:0005576	Os08g0485800
GO:0005576	Os08g0561900
GO:0005576	Os09g0365900
GO:0005576	Os09g0368200
GO:0005576	Os09g0368500
GO:0005576	Os09g0394300
GO:0005576	Os09g0439400
GO:0005576	Os09g0451500
GO:0005576	Os09g0487600
GO:0005576	Os09g0507300
GO:0005576	Os09g0525500
GO:0005576	Os09g0530200
GO:0005576	Os09g0533900
GO:0005576	Os09g0540400
GO:0005576	Os10g0146200
GO:0005576	Os10g0191300
GO:0005576	Os10g0438600
GO:0005576	Os10g0439100
GO:0005576	Os10g0439200
GO:0005576	Os10g0450900
GO:0005576	Os10g0490100
GO:0005576	Os10g0535900
GO:0005576	Os10g0537800
GO:0005576	Os10g0542400
GO:0005576	Os10g0545000
GO:0005576	Os10g0548600
GO:0005576	Os10g0555600
GO:0005576	Os10g0555700
GO:0005576	Os10g0555900
GO:0005576	Os10g0556100
GO:0005576	Os11g0149400
GO:0005576	Os11g0211800
GO:0005576	Os11g0249400
GO:0005576	Os11g0557000
GO:0005576	Os11g0595400
GO:0005576	Os11g0658800
GO:0005576	Os11g0673200
GO:0005576	Os11g0701100
GO:0005576	Os11g0701800
GO:0005576	Os12g0147800
GO:0005576	Os12g0546800
GO:0005576	Os12g0554800
GO:0005576	Os12g0569300
GO:0005576	Os12g0569500
GO:0005576	Os12g0624000
GO:0005576	Os12g0628600
GO:0005576	Os12g0629600
GO:0005576	Os12g0629700
GO:0005576	Os12g0633400
GO:0005615	Os01g0187600
GO:0005615	Os01g0775400
GO:0005615	Os01g0940000
GO:0005615	Os02g0220000
